Error, Time
127,18634
127,18644
128,18656
127,18668
128,18680
127,18692
128,18704
128,18716
128,18728
128,18738
128,18750
128,18762
128,18773
128,18784
128,18796
127,18808
128,18820
127,18832
127,18844
127,18854
127,18867
128,18878
128,18891
128,18903
128,18915
128,18925
128,18937
128,18948
128,18960
128,18972
128,18984
128,18994
128,19005
128,19016
128,19028
128,19040
128,19050
127,19062
127,19072
128,19084
128,19096
127,19108
128,19120
128,19132
128,19144
128,19155
127,19168
127,19180
128,19192
128,19204
128,19214
128,19226
128,19238
128,19250
128,19261
127,19274
128,19286
128,19298
128,19308
128,19320
128,19332
128,19344
128,19354
127,19367
128,19379
128,19391
127,19403
127,19415
127,19425
127,19437
128,19448
128,19460
127,19472
128,19484
128,19494
128,19506
128,19518
128,19530
128,19542
128,19553
128,19564
128,19575
128,19587
128,19599
128,19609
128,19621
128,19632
128,19643
128,19654
127,19667
127,19679
127,19691
127,19703
128,19714
128,19726
128,19737
128,19748
128,19760
127,19772
127,19782
128,19796
127,19808
127,19820
128,19832
128,19844
128,19854
128,19867
128,19878
128,19891
128,19903
128,19915
128,19925
128,19937
128,19949
128,19961
128,19972
128,19984
128,19994
128,20005
128,20017
128,20028
128,20039
127,20052
127,20064
127,20076
128,20087
128,20099
127,20110
127,20121
128,20133
128,20145
127,20156
128,20168
127,20181
127,20191
128,20203
128,20213
128,20226
128,20238
128,20250
128,20261
128,20273
127,20285
127,20295
127,20307
128,20319
127,20331
128,20343
128,20353
127,20366
128,20378
128,20390
127,20402
128,20414
128,20424
128,20437
128,20449
128,20461
127,20473
127,20484
127,20495
127,20507
128,20518
128,20530
128,20542
128,20552
127,20564
128,20576
128,20588
127,20599
127,20611
127,20624
127,20634
128,20646
128,20658
128,20670
127,20681
127,20692
128,20704
128,20716
128,20727
127,20739
128,20751
128,20762
128,20774
128,20784
128,20796
128,20808
128,20820
127,20831
128,20843
128,20855
127,20867
127,20878
128,20890
128,20902
127,20914
127,20925
128,20938
128,20949
128,20961
127,20974
128,20986
128,20997
128,21008
128,21020
128,21032
127,21044
128,21056
128,21066
128,21079
128,21091
128,21103
128,21114
127,21126
127,21136
128,21148
128,21160
128,21172
128,21184
128,21196
128,21206
128,21218
128,21230
128,21241
127,21253
127,21265
127,21276
127,21287
128,21299
128,21311
128,21321
128,21333
128,21345
128,21356
128,21368
127,21379
128,21391
128,21403
127,21415
128,21427
127,21439
127,21451
127,21461
128,21473
127,21484
127,21495
128,21508
128,21521
127,21532
127,21544
128,21557
128,21568
128,21579
127,21591
128,21602
128,21614
128,21626
128,21636
127,21648
127,21660
128,21672
127,21684
127,21695
127,21706
127,21717
128,21729
128,21741
128,21751
128,21764
128,21776
128,21788
128,21799
128,21811
128,21822
128,21833
128,21845
128,21856
128,21868
128,21880
128,21892
128,21903
128,21915
128,21925
128,21937
128,21950
128,21961
128,21973
127,21985
127,21995
128,22007
128,22018
128,22030
128,22042
127,22054
127,22064
128,22076
128,22088
128,22100
128,22112
128,22123
128,22134
128,22146
128,22158
127,22170
127,22180
128,22193
128,22204
127,22216
128,22228
128,22240
128,22251
128,22262
128,22274
128,22285
